blulay	Blulay Player
cam	Web Camera
console	Console for PLC
cryo	Cryo Devices
dc	Digital Camera
desktop	Desktop PC
dio	Distributed I/O
dps	DC Power Supply
ds	Device Server
fapc	FA PC
game	Game Console
health	Health Gear
hub	Network Switch
inst	Measurement instruments
kvm	KVM over IP
md	Motor Driver
mic	Remote micro phone
mp	Media Player
ms	Media Server
nas	NAS
note	Note PC
other	Other
pdu	Power Distributer
phone	Smatr Phone
plc	PLC
printer	Printer
rack	Rackmount Server
rem	Remote controller
router	Router
sensor	Sensor
speaker	Smart Speaker
spws	Smart Power Switch
tablet	Tablet
tv	Smat TV
ups	UPS
usb-e	USB Ethernet Adapter
usb-w	USB Wifi Dongle
video	Video Server
wap	WIfi Access Point
wbr	Wireless Bridge
wex	Wifi Extender
