acer,ACER
adv,Advantech
amazon,Amazon
apc,APC
apple,Apple
asante,Asante
asus,ASUS
aten,ATEN
axis,AXIS
barix,Barix
bbe,BB Electic
brother,Brother
buffalo,Buffalo
compaq,COMPAQ
dlink,D-Link
dec,DEC
dell,Dell
emachines,e-machines
epson,Epson
eyefi,Eye-Fi
fitpc,Fit-PC
fujitsu,Fujitsu
gateway,GateWay
google,Google
hoffer,Hoffer
hp,Hulett Packerd
ibm,IBM
iodata,IO-Data
kenwood,Kenwood
kuro,Kuroto Shiko
lakeshore,Lakeshore
lantronix,Lantronix
lnksys,Linksys
microsoft,Microsoft
mitsubishi,Mitsubishi
ni,National Instruments
netgear,Netgear
nintendo,Nintendo
ohmic,Ohmic
omega,Omega
omron,Omron
panasonic,Panasonic
pfeiffor,Pfeiffor
phytron,Phytron
proside,Proside
pulizzi,PULIZZI
qnap,QNAP
samsung,Samsung
shuttle,Shuttle
sigma,Sigma
slosyn,Slosyn
sony,Sony
startech,StarTech
sun,SUN
supermicro,Supermicro
systemax,SysteMax
uniden,Uniden
varian,Varian
visio,VISIO
vm,Vmware(Virtual)
ezcast,WiFi EZcast
gwinstek,GW Instek
