acer	ACER	
advantech	Advantech	
amazon	Amazon	
apc	APC	
apple	Apple	
asante	Asante	
asus	ASUS	
aten	ATEN	
axis	AXIS	
barix	Barix	
bbe	BB Electic	
broad	Broad Link	
brother	Brother	
buffalo	Buffalo	
compaq	COMPAQ	
cybertron	CYBERTRON	
dec	DEC	
dell	Dell	
dlink	D-Link	
efun	E-FUN	www.nextbookusa.com
emachines	e-machines	
epson	Epson	
eyefi	Eye-Fi	
ezcast	WiFi EZcast	
fitpc	Fit-PC	
foscam	FOSCAM	
fujitsu	Fujitsu	
gateway	GateWay	
google	Google	
gopro	GoPro	
gwinstek	GW Instek	
hikvision	Hikvision	
hoffer	Hoffer	
hosafe	HOSAFE	
hp	Hulett Packerd	
ibm	IBM	
imillet	iMillet	
iodata	IO-Data	
kenwood	Kenwood	
kuro	Kuroto Shiko	
lakeshore	Lakeshore	
lantronix	Lantronix	
lg	LG	
lnksys	Linksys	
microsoft	Microsoft	
mitsubishi	Mitsubishi	
nec	NEC	
netgear	Netgear	
nextbook	NextBook	
ni	National Instruments	
nintendo	Nintendo	
nokia	Nokia	
ohmic	Ohmic	
omega	Omega	
omron	Omron	
panasonic	Panasonic	
pannovo	PANNOVO	
pfeiffor	Pfeiffor	
phytron	Phytron	
proside	Proside	
pulizzi	PULIZZI	
qnap	QNAP	
ralink	Mediatek	
raspberry	Raspberry Pi	
realtek	Realtek	
samsung	Samsung	
shuttle	Shuttle	
sigma	Sigma	
sling	Sling Media	
slosyn	Slosyn	
sonoff	Sonoff	
sony	Sony	
startech	StarTech	
sun	SUN	
supermicro	Supermicro	
sv3c	SV3C	
systemax	SysteMax	
uniden	Uniden	
univivi	Univivi	
varian	Varian	
visio	VISIO	
vm	Vmware(Virtual)	
weightguru	Weight Gurus	
wemo	WEMO	
xincom	XINCOM	
yi	YI technorogy	www.yitechnorogy.com
yokogawa	Yokogawa Digital Computer Corp	
