acer20	note	acer	Aspire	4520		White Note			
acer30	note	acer	Aspire	4530		Black Note			
allin1	desktop	hp	All in one	20-c210		All in one			
asante	cam	asante	Asante	PL1029		Pan-Tilt			
aspire7	note	acer	Aspire	A715-41G-R7X4		Rikus Note (2021)			
asus-hd	note	asus	Asus	N53SV		Full HD Note			
aterm	router	nec	Aterm	BL190HW		au router			
axis2100	cam	axis	Axis	AXIS 2100		Fixed IP Camera			
axis2400	video	axis	Axis	AXIS 2400		Video Server			
barix	mic	barix	Barix			Barix			
bbe	dio	bbe	Bbe	232SDD16					
blulay	blulay	panasonic	Panasonic	DMP-BDT320		Blulay			
bravia	tv	sony	Bravia	KDL-46EX711		46" TV			
brother	printer	brother	Brother	MFC-7860W		Laser Printer			
buf2533	router	buffalo	Airstation	WSR-2533DHP3		Kodaira (transix)			
buf253L	router	buffalo	Airstation	WSR-2533DHPL		Yuki bought			
buf300a	router	buffalo	Airstation	WZR-HP-AG300H		JP			
buf300g	router	buffalo	Airstation	WZR-HP-G300NH		DD-WRT			
c200	plc	omron	Omron	C200HS					
canakit	usb-w	ralink	Canakit	5370		Wifi Dongle 11n			
cfp	dio	ni	Field Point			Check Sum needed			
cj2	plc	omron	Omron	CJ2M-CPU33		PLC for Station			
cybertron	desktop	cybertron	Palladium-1070X	790RJOT	GMPAL1070X26BU	Rikus Gaming PC			
dcs5300	cam	dlink	BDCS5300..A2	DCS 5300		Pan-Tilt			
dell7020	desktop	dell	OptiPlex	7020		Left in Subaru Office			
dell-old	desktop	dell	OptiPlex						
dell-seeing	desktop	dell	OptiPlex	DHM					
dgs2208	hub	dlink	D-Link	DGS-2208		8 port network switch			
di804	router	dlink	D-Link	DI-804-HV		VPN Router			
ding	cam	dingbangg	Dingbangg						
dm2571	inst	nf	NF	DM2571					
dns323	nas	dlink	Dlink	DNS-323		NAS 2Bay			
dome	cam	hikvision	Hikvision	DS-2CD1121-1					
ea4500	router	lnksys	Linksys	EA4500		Kida Router			
edimax	usb-w	realtek	Edimax	EW-7811Un		Wifi Dongle 150Mbps 11n			
efuy	cam	anker	Efuy	T8410525		Indoor Cam 2K Pan & Tilt			
elitebook	note	hp	Elite Book	8730w		Full HD Note			
elitetower	desktop	hp	Elite Tower	800 G9 PC RCTO	519Q1AV	core-i9/RTX7000			
emachines	desktop	emachines	Emachines	C2881		Celeron			
essentio	desktop	asus	Essentio	CM6870-US-3AD		Core-i7			
ex495	nas	hp	Media Smart	EX495		NAS 4Bay			
ezcast	mp	ezcast	EZcast			HDMI Dongle			
fake	phone		FAKE			MAC Spoofing			
fapc	fapc	advantech	Advantech						
fitpc	fapc	fitpc	Fit-PC	Fit-PC2		Atom			
fmv	note	fujitsu	FMV						
foscam	cam	foscam	C1 Lite V2						
fpa	dio	ni	Field Point	FP-AI-100		Analog Input			
fpeth	dio	ni	Field Point	FP-1600		Old FP Network Module			
fpsel	dio	ni	Field Point	FP-1100		Old FP Serial Module			
galaxy	phone	samsung	Galaxy Note 5						
gcast1	mp	google	ChromeCast			HDMI Dongle			
gcast2	mp	google	GoogleCast2			HDMI Dongle w/803.11ac			
gh-hub	speaker	google	Google Home	Hub		Smart Speaker w/Display			
gh-mini	speaker	google	Google Home	Mini		Smart Speaker Mini			
ghome	speaker	google	Google Home			Smart Speaker Large			
gnest	speaker	google	Google Nest	Hub		Smart Speaker w/Display			
gn-mini	speaker	google	Google Nest	Mini		Smart Speaker Mini			
gopro3p	dc	gopro	HERO	3 plus		Gopro Hero 3 plus			
got-s	console	mitsubishi	MELCO	GT1665HS-VTBD		GOT/PLC Console Handy Type			
got-w	console	mitsubishi	MELCO	GT1565-VTBA		GOT/PLC console			
gs108e	hub	netgear	ProSAFE Plus	GS108Ev3		8 port smart switch		password	192.168.0.239
gs308e	hub	netgear	Netgear	GS308E-100JPS		9 port smart switch			
gs700	hub	netgear	Netgear	GS700TS		16ch Switch with SFP			
gs724	hub	netgear	Netgear	GS724TS		24ch Switch with 4 SFP			
gw831	desktop	gateway	Gateway	GW 831GM		Pentium4			
hoffer	cryo	hoffer	Hoffer			Flow Controls			
hosafe	cam	hosafe	HOSAFE	1MB1W	SY105384717				
hp2133	note	hp	Hp	HP2133		Mini Note			
